日付,時刻,コード,会社名,表題（リンク_TDnet）,表題（リンク_ローカル）,キーワード,ヒットページ数,記述されているページ,分類,URL（生）
20260210,16:00,2981,G-ランディックス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553249.pdf"", ""2026年3月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/2981_1600_G-ランディックス_2026年3月期 第3四半期決算説明資料.pdf"", ""2026年3月期 第3四半期決算説明資料"")",上方修正 大幅,7,3 4 5 6 8 10 25,説明資料,https://www.release.tdnet.info/inbs/140120260210553249.pdf
20260210,15:30,5957,日東精工,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553481.pdf"", ""2025年12月期(第120期) 業績概要"")","=HYPERLINK(""pdf_tmp/20260210/5957_1530_日東精工_2025年12月期(第120期) 業績概要.pdf"", ""2025年12月期(第120期) 業績概要"")",大幅 価格転嫁 増産 値上 需要が増 シェア拡大,7,2 4 5 7 8 9 15,その他,https://www.release.tdnet.info/inbs/140120260210553481.pdf
20260210,11:00,6089,ウィルグループ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553443.pdf"", ""2026年3月期 第3四半期決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260210/6089_1100_ウィルグループ_2026年3月期 第3四半期決算説明会資料.pdf"", ""2026年3月期 第3四半期決算説明会資料"")",大幅 計画を上,7,4 5 10 11 15 16 21,その他,https://www.release.tdnet.info/inbs/140120260210553443.pdf
20260210,16:00,6458,新晃工業,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552240.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260210/6458_1600_新晃工業_2026年3月期 第3四半期決算補足説明資料.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")",価格改定 価格転嫁 下方修正 計画以 計画を下,7,4 5 6 7 10 11 14,説明資料,https://www.release.tdnet.info/inbs/140120260209552240.pdf
20260210,14:30,7003,三井E&S,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553048.pdf"", ""2025年度第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/7003_1430_三井E&S_2025年度第3四半期決算説明資料.pdf"", ""2025年度第3四半期決算説明資料"")",上方修正 大幅 シェア拡大,7,2 3 5 6 7 8 10,説明資料,https://www.release.tdnet.info/inbs/140120260210553048.pdf
20260210,15:30,9517,イーレックス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554040.pdf"", ""2026年3月期 第3四半期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260210/9517_1530_イーレックス_2026年3月期 第3四半期 決算補足説明資料.pdf"", ""2026年3月期 第3四半期 決算補足説明資料"")",需要が増 計画を上 悪化 大幅,7,1 3 5 6 14 17 26,説明資料,https://www.release.tdnet.info/inbs/140120260210554040.pdf
20260210,15:30,1446,キャンディル,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552173.pdf"", ""2026年9月期 第1四半期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260210/1446_1530_キャンディル_2026年9月期 第1四半期 決算補足説明資料.pdf"", ""2026年9月期 第1四半期 決算補足説明資料"")",値上 需要が増,6,4 8 10 11 16 22,説明資料,https://www.release.tdnet.info/inbs/140120260209552173.pdf
20260210,15:30,2445,タカミヤ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210552987.pdf"", ""2026年3月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/2445_1530_タカミヤ_2026年3月期 第3四半期決算説明資料.pdf"", ""2026年3月期 第3四半期決算説明資料"")",大幅 悪化,6,6 8 11 22 24 29,説明資料,https://www.release.tdnet.info/inbs/140120260210552987.pdf
20260210,16:00,4118,カネカ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260206550965.pdf"", ""2026年3月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/4118_1600_カネカ_2026年3月期 第3四半期決算説明資料.pdf"", ""2026年3月期 第3四半期決算説明資料"")",需要回復 価格改定 想定以上,6,3 6 7 9 10 14,説明資料,https://www.release.tdnet.info/inbs/140120260206550965.pdf
20260210,15:30,4931,新日本製薬,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209551614.pdf"", ""2026年9月期第1四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260210/4931_1530_新日本製薬_2026年9月期第1四半期決算補足説明資料.pdf"", ""2026年9月期第1四半期決算補足説明資料"")",未達 大幅 計画を上 シェア拡大,6,2 5 6 13 14 18,説明資料,https://www.release.tdnet.info/inbs/140120260209551614.pdf
20260210,13:00,7013,IHI,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553164.pdf"", ""2025年度(2026年3月期)第3四半期決算説明資料(IFRS)"")","=HYPERLINK(""pdf_tmp/20260210/7013_1300_IHI_2025年度(2026年3月期)第3四半期決算説明資料(IFRS).pdf"", ""2025年度(2026年3月期)第3四半期決算説明資料(IFRS)"")",上方修正 下方修正 悪化 大幅,6,3 6 7 8 15 17,説明資料,https://www.release.tdnet.info/inbs/140120260210553164.pdf
20260210,15:30,7172,JIA,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552878.pdf"", ""2025年12月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260210/7172_1530_JIA_2025年12月期 決算短信〔日本基準〕(連結).pdf"", ""2025年12月期 決算短信〔日本基準〕(連結)"")",悪化 未達,6,4 7 8 9 10 11,決算短信,https://www.release.tdnet.info/inbs/140120260209552878.pdf
20260210,15:30,7739,キヤノン電子,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260205548596.pdf"", ""株式併合並びに単元株式数の定めの廃止及び定款の一部変更に関する臨時株主総会の開催のお知らせ"")","=HYPERLINK(""pdf_tmp/20260210/7739_1530_キヤノン電子_株式併合並びに単元株式数の定めの廃止及び定款の一部変更に関する臨時株主総会の開催のお知らせ.pdf"", ""株式併合並びに単元株式数の定めの廃止及び定款の一部変更に関する臨時株主総会の開催のお知らせ"")",大幅 悪化,6,3 9 12 13 38 39,その他,https://www.release.tdnet.info/inbs/140120260205548596.pdf
20260210,12:00,9343,G-アイビス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553500.pdf"", ""事業計画及び成長可能性に関する事項"")","=HYPERLINK(""pdf_tmp/20260210/9343_1200_G-アイビス_事業計画及び成長可能性に関する事項.pdf"", ""事業計画及び成長可能性に関する事項"")",値上 未達 想定以上,6,38 42 44 45 46 48,事業計画,https://www.release.tdnet.info/inbs/140120260210553500.pdf
20260210,11:30,3105,日清紡HD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553010.pdf"", ""2025年12月期_決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/3105_1130_日清紡HD_2025年12月期_決算説明資料.pdf"", ""2025年12月期_決算説明資料"")",大幅 悪化 需要の回復 価格転嫁,5,3 5 7 11 13,説明資料,https://www.release.tdnet.info/inbs/140120260210553010.pdf
20260210,15:30,3288,オープンハウスG,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209551729.pdf"", ""2026年9月期 第1四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/3288_1530_オープンハウスG_2026年9月期 第1四半期決算説明資料.pdf"", ""2026年9月期 第1四半期決算説明資料"")",上方修正,5,2 3 5 7 26,説明資料,https://www.release.tdnet.info/inbs/140120260209551729.pdf
20260210,15:30,4419,G-Finatext,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553615.pdf"", ""2025年度 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/4419_1530_G-Finatext_2025年度 第3四半期 決算説明資料.pdf"", ""2025年度 第3四半期 決算説明資料"")",大幅 計画を下,5,5 6 9 18 42,説明資料,https://www.release.tdnet.info/inbs/140120260210553615.pdf
20260210,10:00,5076,インフロニアHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260205549091.pdf"", ""2026年3月期第3四半期アナリスト向け決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260210/5076_1000_インフロニアHD_2026年3月期第3四半期アナリスト向け決算説明会資料.pdf"", ""2026年3月期第3四半期アナリスト向け決算説明会資料"")",価格改定 価格転嫁 大幅 計画を上,5,4 21 39 41 43,その他,https://www.release.tdnet.info/inbs/140120260205549091.pdf
20260210,15:30,5816,オーナンバ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552789.pdf"", ""2025年12月期決算説明資料および中期経営計画「PROGRESS 2026」の進捗"")","=HYPERLINK(""pdf_tmp/20260210/5816_1530_オーナンバ_2025年12月期決算説明資料および中期経営計画「PROGRESS 2026」の進捗.pdf"", ""2025年12月期決算説明資料および中期経営計画「PROGRESS 2026」の進捗"")",計画を下 需要の回復 需要が増 想定以上 計画を上 需要回復 下方修正,5,2 3 4 9 12,説明資料,https://www.release.tdnet.info/inbs/140120260209552789.pdf
20260210,13:00,6272,レオン自機,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209551900.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260210/6272_1300_レオン自機_2026年3月期 第3四半期決算補足説明資料.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")",大幅 需要が増,5,7 8 9 11 14,説明資料,https://www.release.tdnet.info/inbs/140120260209551900.pdf
20260210,15:30,8037,カメイ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553025.pdf"", ""2026年3月期 第3四半期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260210/8037_1530_カメイ_2026年3月期 第3四半期 決算補足説明資料.pdf"", ""2026年3月期 第3四半期 決算補足説明資料"")",価格改定 大幅 悪化,5,3 5 6 10 11,説明資料,https://www.release.tdnet.info/inbs/140120260210553025.pdf
20260210,11:30,9336,大栄環境,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553052.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/9336_1130_大栄環境_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",計画を上 想定以上 未達 計画を下 価格転嫁 シェア拡大,5,15 20 21 38 57,説明資料,https://www.release.tdnet.info/inbs/140120260210553052.pdf
20260210,12:30,1982,日比谷設,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553246.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/1982_1230_日比谷設_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",大幅 上方修正,4,5 7 12 13,説明資料,https://www.release.tdnet.info/inbs/140120260210553246.pdf
20260210,15:30,2138,クルーズ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553704.pdf"", ""2026年3月期(第25期)3Q決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/2138_1530_クルーズ_2026年3月期(第25期)3Q決算説明資料.pdf"", ""2026年3月期(第25期)3Q決算説明資料"")",大幅,4,4 13 17 20,説明資料,https://www.release.tdnet.info/inbs/140120260210553704.pdf
20260210,15:30,2733,あらた,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209551762.pdf"", ""2026年3月期 第3四半期決算説明"")","=HYPERLINK(""pdf_tmp/20260210/2733_1530_あらた_2026年3月期 第3四半期決算説明.pdf"", ""2026年3月期 第3四半期決算説明"")",未達 シェア拡大 下方修正 計画を下 トップシェア,4,2 15 16 19,その他,https://www.release.tdnet.info/inbs/140120260209551762.pdf
20260210,14:00,3708,特種東海,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553279.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/3708_1400_特種東海_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",価格改定,4,2 3 4 5,説明資料,https://www.release.tdnet.info/inbs/140120260210553279.pdf
20260210,15:30,3934,ベネフィットジャパン,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554291.pdf"", ""2026年3月期第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/3934_1530_ベネフィットジャパン_2026年3月期第3四半期 決算説明資料.pdf"", ""2026年3月期第3四半期 決算説明資料"")",大幅 需要の回復 需要が増,4,11 13 17 24,説明資料,https://www.release.tdnet.info/inbs/140120260210554291.pdf
20260210,15:30,4182,菱瓦斯化,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260204547245.pdf"", ""2025年度第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/4182_1530_菱瓦斯化_2025年度第3四半期 決算説明資料.pdf"", ""2025年度第3四半期 決算説明資料"")",悪化,4,2 5 9 12,説明資料,https://www.release.tdnet.info/inbs/140120260204547245.pdf
20260210,14:00,4249,森六,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553570.pdf"", ""2026年3月期 第3四半期決算補足資料"")","=HYPERLINK(""pdf_tmp/20260210/4249_1400_森六_2026年3月期 第3四半期決算補足資料.pdf"", ""2026年3月期 第3四半期決算補足資料"")",価格転嫁 増産 大幅 計画を下,4,5 8 12 17,その他,https://www.release.tdnet.info/inbs/140120260210553570.pdf
20260210,15:30,5714,DOWA,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553284.pdf"", ""2025年度第3四半期 決算補足資料"")","=HYPERLINK(""pdf_tmp/20260210/5714_1530_DOWA_2025年度第3四半期 決算補足資料.pdf"", ""2025年度第3四半期 決算補足資料"")",悪化 上方修正,4,3 5 7 10,その他,https://www.release.tdnet.info/inbs/140120260210553284.pdf
20260210,15:30,5943,ノーリツ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552311.pdf"", ""株主提案に対する当社取締役会の意見に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260210/5943_1530_ノーリツ_株主提案に対する当社取締役会の意見に関するお知らせ.pdf"", ""株主提案に対する当社取締役会の意見に関するお知らせ"")",大幅 下方修正 悪化,4,5 7 9 14,その他,https://www.release.tdnet.info/inbs/140120260209552311.pdf
20260210,15:30,6016,ジャパンエンジン,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553204.pdf"", ""2026年3月期 第3四半期決算短信〔日本基準〕(非連結)"")","=HYPERLINK(""pdf_tmp/20260210/6016_1530_ジャパンエンジン_2026年3月期 第3四半期決算短信〔日本基準〕(非連結).pdf"", ""2026年3月期 第3四半期決算短信〔日本基準〕(非連結)"")",上方修正 価格転嫁 増産,4,1 4 5 6,決算短信,https://www.release.tdnet.info/inbs/140120260210553204.pdf
20260210,15:00,6395,タダノ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553777.pdf"", ""2025年12月期(1-12月)決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/6395_1500_タダノ_2025年12月期(1-12月)決算説明資料.pdf"", ""2025年12月期(1-12月)決算説明資料"")",悪化 大幅 価格転嫁,4,6 7 8 14,説明資料,https://www.release.tdnet.info/inbs/140120260210553777.pdf
20260210,15:30,6544,JESHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553673.pdf"", ""2026年3月期第3四半期 決算補足資料"")","=HYPERLINK(""pdf_tmp/20260210/6544_1530_JESHD_2026年3月期第3四半期 決算補足資料.pdf"", ""2026年3月期第3四半期 決算補足資料"")",大幅 シェア拡大,4,4 13 14 16,その他,https://www.release.tdnet.info/inbs/140120260210553673.pdf
20260210,15:30,7172,JIA,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553187.pdf"", ""2025年12月期 連結決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/7172_1530_JIA_2025年12月期 連結決算説明資料.pdf"", ""2025年12月期 連結決算説明資料"")",未達 下方修正 大幅 悪化,4,11 23 24 25,説明資料,https://www.release.tdnet.info/inbs/140120260210553187.pdf
20260210,15:30,8093,極東貿易,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260206550021.pdf"", ""2026年3月期第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260210/8093_1530_極東貿易_2026年3月期第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期第3四半期決算短信〔日本基準〕(連結)"")",大幅 需要が低 上方修正 想定以上,4,4 5 6 12,決算短信,https://www.release.tdnet.info/inbs/140120260206550021.pdf
20260210,14:00,8163,SRSHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552558.pdf"", ""令和8年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/8163_1400_SRSHD_令和8年3月期第3四半期決算説明資料.pdf"", ""令和8年3月期第3四半期決算説明資料"")",値上 想定以上 価格改定 計画を上,4,9 12 18 19,説明資料,https://www.release.tdnet.info/inbs/140120260209552558.pdf
20260210,15:30,9142,JR九州,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260128540116.pdf"", ""2026年3月期 第3四半期決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260210/9142_1530_JR九州_2026年3月期 第3四半期決算説明会資料.pdf"", ""2026年3月期 第3四半期決算説明会資料"")",下方修正 計画を上 値上,4,9 13 21 33,その他,https://www.release.tdnet.info/inbs/140120260128540116.pdf
20260210,15:30,1852,浅沼組,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260127539112.pdf"", ""2026年3月期 第3四半期決算補足資料"")","=HYPERLINK(""pdf_tmp/20260210/1852_1530_浅沼組_2026年3月期 第3四半期決算補足資料.pdf"", ""2026年3月期 第3四半期決算補足資料"")",大幅 上方修正,3,3 5 6,その他,https://www.release.tdnet.info/inbs/140120260127539112.pdf
20260210,15:30,2201,森永菓,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209551696.pdf"", ""2026年3月期第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260210/2201_1530_森永菓_2026年3月期第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期第3四半期決算短信〔日本基準〕(連結)"")",価格改定,3,4 5 6,決算短信,https://www.release.tdnet.info/inbs/140120260209551696.pdf
20260210,15:30,2211,不二家,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260124537973.pdf"", ""2025年12月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260210/2211_1530_不二家_2025年12月期 決算短信〔日本基準〕(連結).pdf"", ""2025年12月期 決算短信〔日本基準〕(連結)"")",増産 大幅 価格改定 値上,3,2 5 6,決算短信,https://www.release.tdnet.info/inbs/140120260124537973.pdf
20260210,15:30,4284,ソルクシーズ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552312.pdf"", ""2025年12月期 決算短信補足資料"")","=HYPERLINK(""pdf_tmp/20260210/4284_1530_ソルクシーズ_2025年12月期 決算短信補足資料.pdf"", ""2025年12月期 決算短信補足資料"")",大幅 計画を上 値上 悪化,3,4 7 17,決算短信,https://www.release.tdnet.info/inbs/140120260209552312.pdf
20260210,15:30,4911,資生堂,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554264.pdf"", ""2025年12月期決算短信〔IFRS〕(連結)"")","=HYPERLINK(""pdf_tmp/20260210/4911_1530_資生堂_2025年12月期決算短信〔IFRS〕(連結).pdf"", ""2025年12月期決算短信〔IFRS〕(連結)"")",悪化 価格改定 大幅,3,4 7 10,決算短信,https://www.release.tdnet.info/inbs/140120260210554264.pdf
20260210,10:00,5076,インフロニアHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260205549088.pdf"", ""2026年3月期第3四半期アナリスト向け決算説明会資料 プレゼンテーション資料"")","=HYPERLINK(""pdf_tmp/20260210/5076_1000_インフロニアHD_2026年3月期第3四半期アナリスト向け決算説明会資料 プレゼンテーション資料.pdf"", ""2026年3月期第3四半期アナリスト向け決算説明会資料 プレゼンテーション資料"")",上方修正 価格改定 価格転嫁,3,2 3 5,その他,https://www.release.tdnet.info/inbs/140120260205549088.pdf
20260210,14:30,5232,住友大阪,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209551918.pdf"", ""2025年度(2026年3月期) 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/5232_1430_住友大阪_2025年度(2026年3月期) 第3四半期決算説明資料.pdf"", ""2025年度(2026年3月期) 第3四半期決算説明資料"")",値上 悪化 需要回復,3,4 8 11,説明資料,https://www.release.tdnet.info/inbs/140120260209551918.pdf
20260210,15:30,5816,オーナンバ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552781.pdf"", ""2025年12月期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260210/5816_1530_オーナンバ_2025年12月期決算短信〔日本基準〕(連結).pdf"", ""2025年12月期決算短信〔日本基準〕(連結)"")",計画を下 需要の回復 需要が増 需要回復 想定以上 計画を上,3,4 5 6,決算短信,https://www.release.tdnet.info/inbs/140120260209552781.pdf
20260210,15:30,6134,FUJI,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553835.pdf"", ""2026年3月期第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/6134_1530_FUJI_2026年3月期第3四半期 決算説明資料.pdf"", ""2026年3月期第3四半期 決算説明資料"")",需要が低 上方修正,3,11 12 14,説明資料,https://www.release.tdnet.info/inbs/140120260210553835.pdf
20260210,15:30,7199,プレミアグループ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552369.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/7199_1530_プレミアグループ_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",下方修正 大幅,3,6 7 20,説明資料,https://www.release.tdnet.info/inbs/140120260209552369.pdf
20260210,15:00,7637,白銅,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552613.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/7637_1500_白銅_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",大幅 価格転嫁 上方修正,3,13 18 24,説明資料,https://www.release.tdnet.info/inbs/140120260209552613.pdf
20260210,14:00,7800,アミファ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553680.pdf"", ""2026年9月期第1四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260210/7800_1400_アミファ_2026年9月期第1四半期 決算説明資料.pdf"", ""2026年9月期第1四半期 決算説明資料"")",大幅,3,4 6 8,説明資料,https://www.release.tdnet.info/inbs/140120260210553680.pdf
